event_name,commence,status,bookmaker,last_update,point_1,point_2,odd_1,odd_2
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,LowVig.ag,12/18/2024,over 233.5,under 233.5,-107,-107
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,BetOnline.ag,12/18/2024,over 233.5,under 233.5,-110,-110
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,Bovada,12/18/2024,over 233.0,under 233.0,-110,-110
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,FanDuel,12/18/2024,over 237.0,under 237.0,-112,-108
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,MyBookie.ag,12/18/2024,over 237.0,under 237.0,-110,-110
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,DraftKings,12/18/2024,over 237.0,under 237.0,-110,-110
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,BetRivers,12/18/2024,over 237.0,under 237.0,-108,-113
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,BetMGM,12/18/2024,over 237.5,under 237.5,-105,-115
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,LowVig.ag,12/18/2024,over 237.5,under 237.5,-102,-113
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,BetOnline.ag,12/18/2024,over 237.5,under 237.5,-105,-115
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,Bovada,12/18/2024,over 237.0,under 237.0,-110,-110
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,FanDuel,12/18/2024,over 217.5,under 217.5,-112,-108
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,MyBookie.ag,12/18/2024,over 218.0,under 218.0,-110,-110
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,DraftKings,12/18/2024,over 217.5,under 217.5,-110,-110
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,BetRivers,12/18/2024,over 218.0,under 218.0,-108,-113
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,BetMGM,12/18/2024,over 217.5,under 217.5,-110,-110
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,LowVig.ag,12/18/2024,over 217.5,under 217.5,-107,-107
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,BetOnline.ag,12/18/2024,over 217.5,under 217.5,-110,-110
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,Bovada,12/18/2024,over 218.0,under 218.0,-105,-115
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,DraftKings,12/18/2024,over 226.5,under 226.5,-112,-108
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,MyBookie.ag,12/18/2024,over 226.5,under 226.5,-110,-110
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,FanDuel,12/18/2024,over 226.5,under 226.5,-110,-110
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,BetRivers,12/18/2024,over 226.5,under 226.5,-112,-109
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,BetMGM,12/18/2024,over 227.5,under 227.5,-105,-115
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,Bovada,12/18/2024,over 226.5,under 226.5,-115,-105
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,LowVig.ag,12/18/2024,over 226.5,under 226.5,-109,-105
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,BetOnline.ag,12/18/2024,over 226.5,under 226.5,-112,-108
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,FanDuel,12/18/2024,over 235.5,under 235.5,-110,-110
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,DraftKings,12/18/2024,over 235.5,under 235.5,-110,-110
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,MyBookie.ag,12/18/2024,over 235.5,under 235.5,-110,-110
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,BetRivers,12/18/2024,over 235.0,under 235.0,-110,-110
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,BetMGM,12/18/2024,over 235.5,under 235.5,-110,-110
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,Bovada,12/18/2024,over 236.0,under 236.0,-110,-110
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,LowVig.ag,12/18/2024,over 235.5,under 235.5,-102,-113
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,BetOnline.ag,12/18/2024,over 235.5,under 235.5,-105,-115
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,FanDuel,12/18/2024,over 215.0,under 215.0,-110,-110
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,MyBookie.ag,12/18/2024,over 214.5,under 214.5,-110,-110
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,DraftKings,12/18/2024,over 214.5,under 214.5,-108,-112
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,BetRivers,12/18/2024,over 215.0,under 215.0,-112,-109
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,BetMGM,12/18/2024,over 214.5,under 214.5,-110,-110
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,LowVig.ag,12/18/2024,over 214.0,under 214.0,-113,-102
