Brooklyn Nets
Name,Position
Reece Beekman,G
Bojan Bogdanovic,SF
Nic Claxton,C
Noah Clowney,F
Dorian Finney-Smith,PF
Cameron Johnson,SF
Keon Johnson,G
Jaylen Martin,G
Tyrese Martin,G
De'Anthony Melton,SG
Shake Milton,SG
Day'Ron Sharpe,C
Ben Simmons,PG
Cam Thomas,SG
Trendon Watford,PF
Dariq Whitehead,F
Ziaire Williams,F
Jalen Wilson,F
