Name,Position
Max Christie,G
Anthony Davis,PF
Rui Hachimura,PF
Jaxson Hayes,C
Jalen Hood-Schifino,G
Bronny James,G
LeBron James,SF
Dalton Knecht,G
Christian Koloko,C
Maxwell Lewis,F
Quincy Olivari,G
Austin Reaves,SG
Cam Reddish,SF
D'Angelo Russell,PG
Armel Traore,F
Jarred Vanderbilt,PF
Gabe Vincent,PG
Christian Wood,F
