Name,Position
Mo Bamba,C
Nicolas Batum,PF
Kobe Brown,G
Cam Christie,G
Amir Coffey,SG
Kris Dunn,G
Trentyn Flowers,G
James Harden,SG
Bones Hyland,PG
Kai Jones,PF
Derrick Jones Jr.,SF
Kawhi Leonard,SF
Terance Mann,SG
Jordan Miller,G
Kevin Porter Jr.,G
Norman Powell,G
P.J. Tucker,PF
Ivica Zubac,C
