Name,Position
Spencer Dinwiddie,PG
Luka Doncic,PG
Kessler Edwards,SF
Dante Exum,G
Daniel Gafford,C
Jazian Gortman,G
Quentin Grimes,SG
Jaden Hardy,G
Kyrie Irving,PG
Maxi Kleber,PF
Dereck Lively II,C
Naji Marshall,SF
Markieff Morris,PF
Dwight Powell,C
Olivier-Maxence Prosper,F
Klay Thompson,SG
P.J. Washington,PF
Brandon Williams,G
