Name,Position
Deni Avdija,SF
Deandre Ayton,C
Dalano Banton,G
Toumani Camara,F
Donovan Clingan,C
Jerami Grant,SF
Scoot Henderson,G
Bryce McGowens,G
Justin Minaya,F
Taze Moore,G
Kris Murray,F
Duop Reath,C
Rayan Rupert,G
Shaedon Sharpe,SG
Anfernee Simons,SG
Matisse Thybulle,SG
Jabari Walker,F
Robert Williams III,C
