Name,Position
Lonzo Ball,PG
Matas Buzelis,F
Jevon Carter,PG
Torrey Craig,SF
Ayo Dosunmu,SG
Chris Duarte,SG
Josh Giddey,SG
Talen Horton-Tucker,SF
Zach LaVine,SG
E.J. Liddell,F
Julian Phillips,F
Adama Sanogo,C
Jalen Smith,PF
DJ Steward,G
Dalen Terry,F
Nikola Vucevic,C
Coby White,PG
Patrick Williams,PF
