Name,Position
LaMelo Ball,PG
Miles Bridges,SF
Seth Curry,SG
Moussa Diabate,F
Taj Gibson,F
Josh Green,SG
DaQuan Jeffries,SG
Tre Mann,PG
Cody Martin,SF
Vasilije Micic,G
Brandon Miller,F
Nick Richards,C
Tidjane Salaun,F
KJ Simpson,G
Nick Smith Jr.,G
Grant Williams,PF
Mark Williams,C
Isaiah Wong,G
