Name,Position
Nickeil Alexander-Walker,SG
Jaylen Clark,G
Mike Conley,PG
Donte DiVincenzo,SG
Rob Dillingham,G
PJ Dozier,G
Anthony Edwards,SG
Jesse Edwards,C
Luka Garza,C
Rudy Gobert,C
Joe Ingles,SG
Jaden McDaniels,PF
Leonard Miller,F
Josh Minott,F
Daishen Nix,SG
Julius Randle,PF
Naz Reid,C
Terrence Shannon Jr.,G
