Name,Position
Malik Beasley,SG
Cade Cunningham,PG
Jalen Duren,C
Simone Fontecchio,F
Tim Hardaway Jr.,SF
Tobias Harris,F
Ronald Holland II,F
Jaden Ivey,PG
Daniss Jenkins,G
Wendell Moore Jr.,G
Paul Reed,F
Marcus Sasser,G
Isaiah Stewart,C
Cole Swider,F
Ausar Thompson,F
Alondes Williams,G
