Name,Position
Santi Aldama,PF
Desmond Bane,SG
Colin Castleton,C
Brandon Clarke,PF
Zach Edey,C
Jay Huff,C
GG Jackson II,F
Jaren Jackson Jr.,PF
Yuki Kawamura,G
Luke Kennard,SG
John Konchar,SG
Jake LaRavia,F
Ja Morant,PG
Scotty Pippen Jr.,G
Marcus Smart,PG
Cam Spencer,G
Jaylen Wells,F
Vince Williams Jr.,G
