Name,Position
Trey Alexander,G
Christian Braun,G
Vlatko Cancar,SF
Aaron Gordon,PF
PJ Hall,C
DaRon Holmes II,C
Nikola Jokic,C
Spencer Jones,F
DeAndre Jordan,C
Jamal Murray,PG
Zeke Nnaji,PF
Jalen Pickett,G
Michael Porter Jr.,SF
Dario Saric,PF
Julian Strawther,G
Hunter Tyson,F
Peyton Watson,F
Russell Westbrook,PG
