Name,Position
Giannis Antetokounmpo,PF
MarJon Beauchamp,F
Pat Connaughton,SG
AJ Green,G
Andre Jackson Jr.,G
AJ Johnson,G
Damian Lillard,PG
Chris Livingston,F
Brook Lopez,C
Khris Middleton,SF
Bobby Portis,F
Taurean Prince,PF
Liam Robbins,C
Ryan Rollins,G
Tyler Smith,F
Gary Trent Jr.,SG
Stanley Umude,G
Delon Wright,SG
