Name,Position
Bam Adebayo,C
Alec Burks,SG
Jimmy Butler,SF
Josh Christopher,SG
Tyler Herro,PG
Haywood Highsmith,F
Jaime Jaquez Jr.,G
Keshad Johnson,F
Nikola Jovic,F
Pelle Larsson,G
Kevin Love,PF
Josh Richardson,SG
Duncan Robinson,F
Terry Rozier,SG
Dru Smith,G
Kel'el Ware,C
