Name,Position
Kyle Anderson,SF
Stephen Curry,PG
Draymond Green,PF
Buddy Hield,SG
Trayce Jackson-Davis,F
Jonathan Kuminga,PF
Kevon Looney,F
Moses Moody,SG
Cameron Parker,G
Gary Payton II,SG
Brandin Podziemski,G
Quinten Post,C
Gui Santos,F
Dennis Schroder,PG
Pat Spencer,G
Lindy Waters III,F
Andrew Wiggins,SF
