Name,Position
Adem Bona,C
Ricky Council IV,G
Jeff Dowtin Jr.,G
Andre Drummond,C
Justin Edwards,F
Joel Embiid,C
Paul George,F
Eric Gordon,SG
Reggie Jackson,PG
Kyle Lowry,PG
Caleb Martin,SF
KJ Martin,F
Tyrese Maxey,PG
Jared McCain,G
Pete Nance,F
Kelly Oubre Jr.,SG
Guerschon Yabusele,F
