Name,Position
Branden Carlson,C
Alex Caruso,SG
Ousmane Dieng,F
Luguentz Dort,G
Alex Ducas,G
Adam Flagler,F
Shai Gilgeous-Alexander,PG
Isaiah Hartenstein,C
Chet Holmgren,PF
Isaiah Joe,SG
Dillon Jones,F
Malevy Leons,F
Ajay Mitchell,G
Nikola Topic,G
Cason Wallace,G
Aaron Wiggins,SG
Jalen Williams,F
Jaylin Williams,F
Kenrich Williams,SF
