Name,Position
Thomas Bryant,C
Enrique Freeman,F
Johnny Furphy,F
Tyrese Haliburton,PG
Isaiah Jackson,SF
Quenton Jackson,G
James Johnson,PF
Bennedict Mathurin,SG
T.J. McConnell,PG
Andrew Nembhard,PG
Aaron Nesmith,SF
Tristen Newton,G
Ben Sheppard,G
Pascal Siakam,PF
Obi Toppin,PF
Myles Turner,C
Jarace Walker,F
James Wiseman,C
