Name,Position
Jarrett Allen,C
Emoni Bates,F
Darius Garland,PG
Ty Jerome,SG
Caris LeVert,SG
Sam Merrill,SG
Donovan Mitchell,SG
Evan Mobley,PF
Georges Niang,SF
Isaac Okoro,SF
Craig Porter Jr.,G
Max Strus,SG
Tristan Thompson,C
JT Thor,F
Luke Travers,G
Jaylon Tyson,F
Dean Wade,PF
