Name,Position
Marvin Bagley III,PF
Patrick Baldwin Jr.,F
Saddiq Bey,SF
Malcolm Brogdon,PG
Jared Butler,SG
Carlton Carrington,G
Justin Champagnie,SF
Bilal Coulibaly,SG
Johnny Davis,G
Kyshawn George,F
Anthony Gill,PF
Richaun Holmes,F
Corey Kispert,SF
Kyle Kuzma,SF
Jaylen Nowell,G
Jordan Poole,SG
Alexandre Sarr,PF
Jonas Valanciunas,C
Tristan Vukcevic,PF
