Name,Position
Ochai Agbaji,G
Scottie Barnes,SF
RJ Barrett,SG
Jamison Battle,F
Chris Boucher,PF
Bruce Brown,SF
D.J. Carton,G
Ulrich Chomche,C
Gradey Dick,G
Bruno Fernando,F
A.J. Lawson,G
Davion Mitchell,PG
Jonathan Mogbo,F
Kelly Olynyk,PF
Jakob Poeltl,C
Immanuel Quickley,SG
Jamal Shead,G
Garrett Temple,SF
Ja'Kobe Walter,G
