Name,Position
Precious Achiuwa,PF
OG Anunoby,SF
Mikal Bridges,SF
Jalen Brunson,PG
Boo Buie,G
Pacome Dadiet,G
Josh Hart,SG
Ariel Hukporti,C
Tyler Kolek,G
Miles McBride,PG
Kevin McCullar Jr.,F
Cameron Payne,PG
Mitchell Robinson,C
Matt Ryan,F
Jericho Sims,C
Jacob Toppin,F
Karl-Anthony Towns,C
