Name,Position
Steven Adams,C
Dillon Brooks,SF
N'Faly Dante,C
Tari Eason,F
Jalen Green,SG
Jeff Green,PF
Aaron Holiday,G
Jock Landale,C
Jack McVeigh,G
Alperen Sengun,C
Reed Sheppard,G
Jabari Smith Jr.,PF
Jae'Sean Tate,SF
Amen Thompson,F
Fred VanVleet,PG
Cam Whitmore,F
Nate Williams,G
