Name,Position
Cole Anthony,PG
Paolo Banchero,PF
Goga Bitadze,C
Anthony Black,G
Kentavious Caldwell-Pope,SG
Wendell Carter Jr.,C
Tristan da Silva,F
Gary Harris,SG
Caleb Houstan,G
Jett Howard,G
Jonathan Isaac,PF
Cory Joseph,PG
Mac McClung,G
Trevelin Queen,SG
Jalen Suggs,SG
Franz Wagner,SF
Moritz Wagner,C
