Name,Position
Grayson Allen,SG
Bradley Beal,SG
Bol Bol,C
Devin Booker,SG
Jalen Bridges,F
Ryan Dunn,F
Kevin Durant,PF
Collin Gillespie,G
Oso Ighodaro,C
Tyus Jones,PG
Damion Lee,SG
Monte Morris,PG
Jusuf Nurkic,C
Royce O'Neale,PF
Josh Okogie,SF
Mason Plumlee,C
TyTy Washington Jr.,G
