Name,Position
Dominick Barlow,F
Bogdan Bogdanovic,SG
Kobe Bufkin,G
Clint Capela,C
Dyson Daniels,G
Mouhamed Gueye,F
De'Andre Hunter,SF
Jalen Johnson,SF
Vit Krejci,G
Garrison Mathews,SG
Larry Nance Jr.,PF
Onyeka Okongwu,PF
Zaccharie Risacher,PF
David Roddy,F
Keaton Wallace,G
Trae Young,PG
Cody Zeller,C
