Name,Position
Jordan Clarkson,PG
Isaiah Collier,G
John Collins,PF
Drew Eubanks,PF
Kyle Filipowski,F
Keyonte George,G
Taylor Hendricks,F
David Jones Garcia,F
Johnny Juzang,G
Walker Kessler,C
Lauri Markkanen,PF
Patty Mills,PG
Svi Mykhailiuk,SG
Micah Potter,C
Brice Sensabaugh,F
Collin Sexton,PG
Oscar Tshiebwe,C
Cody Williams,F
